area,PIB_par_hbt,government,name,car_code,memberships,nombre_appartenances,population,religion_principale,langue_principale,PIB_national,Soldats_2017,DepensesMilitairesPIB_2018,MortsGuerre_2018,Exportations_2018,Importations_2018
312683.0,226700.0,democratic state,Poland,PL,BIS\BSEC\CEI\CE\CBSS\CCC\ECE\EBRD\CERN\EU\FAO\IAEA\IBRD\ICAO\ICFTU\Interpol\IDA\IFRCS\IFC\ILO\IMO\Inmarsat\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\NAM\ANC\NSG\OSCE\OAS\PFP\PCA\UN\UNAVEM-III\UNCRO\UNDOF\UNESCO\UNIDO\UNIFIL\UNIKOM\MINURSO\UNMOT\UNOMIG\UNPREDEP\UNPROFOR\UPU\WEU\WCL\WFTU\WHO\WIPO\WMO\WToO\WTrO\ZC,58,38642565,Roman Catholic,Polish,8.7602694855E12,191000,1.97769196045967,0,820.8815316,543.565334
603700.0,174600.0,republic,Ukraine,UA,BSEC\CEI\CIS\CE\CCC\ECE\EBRD\IAEA\IBRD\ICAO\Interpol\IFRCS\IFC\ILO\IMO\Inmarsat\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\ANC\NSG\OSCE\PFP\PCA\UN\UNCRO\UNESCO\UNIDO\UNMOT\UNPREDEP\UNPROFOR\UPU\WHO\WIPO\WMO\WTrO,39,50864009,Christian Orthodox,Ukrainian,8.8808559714E12,297000,3.78280295287034,234,324.9133642,408.7560906
1.70752E7,796000.0,federation,Russia,R,BSEC\CIS\CE\CBSS\CCC\ESCAP\ECE\EBRD\CERN\G-8\IAEA\IBRD\ICAO\Interpol\IDA\IFRCS\IFC\ILO\IMO\Inmarsat\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\MTCR\ANC\NSG\OSCE\OAS\PFP\PCA\UN\UNAVEM-III\UNAMIR\UNCRO\UNESCO\UNIDO\UNITAR\UNIKOM\MINURSO\UNMIH\UNOMIG\UNHCR\UNPREDEP\UNPROFOR\UNTSO\UPU\WHO\WIPO\WMO\WToO\WTrO\ZC,55,148178487,Christian Orthodox,Russian,1.17950075652E14,0,0.0,0,0.0,0.0
30510.0,197000.0,constitutional monarchy,Belgium,B,AfDB\ACCT\AG\AsDB\BIS\Benelux\CE\CCC\ECE\EBRD\EIB\CERN\ESA\EU\FAO\G-9\G-10\IADB\IAEA\IBRD\ICC\ICAO\ICFTU\Interpol\IDA\IEA\IFRCS\IFC\IFAD\ILO\IMO\Inmarsat\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\MTCR\ANC\NATO\EN\NSG\OECD\OSCE\OAS\PCA\UN\UNCRO\UNESCO\UNIDO\UNITAR\UNMOGIP\MINURSO\UNHCR\UNPROFOR\UNRWA\UNTSO\UPU\WEU\WCL\WHO\WIPO\WMO\WToO\WTrO\ZC,67,10170241,Roman Catholic,French,2.003537477E12,32000,0.925790634519833,3,248.3813912,254.1752046
2586.0,10000.0,constitutional monarchy,Luxembourg,L,ACCT\Benelux\CE\CCC\ECE\EBRD\EIB\EU\FAO\IAEA\IBRD\ICC\ICAO\ICFTU\Interpol\IDA\IEA\IFRCS\IFC\IFAD\ILO\IMO\IMF\IOC\IOM\ICRM\ITU\Intelsat\MTCR\ANC\NATO\EN\NSG\OECD\OSCE\PCA\UN\UNESCO\UNIDO\UPU\WEU\WCL\WHO\WIPO\WMO\WTrO\ZC,46,415870,Roman Catholic,Luxembourgish,4.1587E9,2000,0.611662609350006,0,194.9469743,213.5447671
37330.0,301900.0,constitutional monarchy,Netherlands,NL,AfDB\AG\AsDB\BIS\Benelux\CE\CCC\ESCAP\ECE\ECLAC\EBRD\EIB\CERN\ESA\EU\FAO\G-10\IADB\IAEA\IBRD\ICC\ICAO\ICFTU\Interpol\IDA\IEA\IFRCS\IFC\IFAD\ILO\IMO\Inmarsat\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\MTCR\NAM\ANC\NATO\EN\NSG\OECD\OSCE\OAS\PCA\UN\UNAVEM-III\UNCRO\UNESCO\UNIDO\UNITAR\UNMIH\UNHCR\UNPREDEP\UNPROFOR\UNTSO\UNU\UPU\WEU\WCL\WHO\WIPO\WMO\WToO\WTrO\ZC,69,15568034,Roman Catholic,Dutch,4.6999894646E12,41000,1.24160710770927,0,311.2187159,296.090889
51233.0,1000.0,emerging democracy,Bosnia and Herzegovina,BIH,CEI\CE\ECE\FAO\ICAO\Interpol\IFAD\ILO\IMO\IOC\IOM\ITU\Intelsat\NAM\OSCE\UN\UNESCO\UNIDO\UPU\WHO\WIPO\WMO\WToO,22,2656240,Muslim,Serbo-Croatian,2.65624E9,11000,1.11191310643257,0,671.8719064,365.5648336
56538.0,20100.0,parliamentary democracy,Croatia,HR,CEI\CE\CCC\ECE\EBRD\EU\FAO\IADB\IAEA\IBRD\ICAO\Interpol\IDA\IFRCS\IFC\IFAD\ILO\IMO\Inmarsat\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\NAM\OSCE\UN\UNESCO\UNIDO\UPU\WHO\WIPO\WMO\WToO\WTrO,36,5004112,Roman Catholic,Croatian,1.005826512E11,18000,1.46505417870661,0,392.6768925,357.6153969
110910.0,43200.0,emerging democracy,Bulgaria,BG,ACCT\BIS\BSEC\CEI\CE\CCC\ECE\EBRD\EU\FAO\G-9\IAEA\IBRD\ICAO\ICFTU\Interpol\IFRCS\IFC\ILO\IMO\Inmarsat\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\NAM\ANC\NSG\OSCE\PFP\PCA\UN\UNAVEM-III\UNESCO\UNIDO\UNMOT\UPU\WEU\WFTU\WHO\WIPO\WMO\WToO\WTrO\ZC,47,8612757,Christian Orthodox,Bulgarian,3.720711024E11,31000,1.68843232372019,0,683.0793094,578.9018995
237500.0,105700.0,republic,Romania,RO,ACCT\BIS\BSEC\CEI\CE\CCC\ECE\EBRD\EU\FAO\G-9\G-77\IAEA\IBRD\ICAO\ICFTU\Interpol\IFRCS\IFC\IFAD\ILO\IMO\Inmarsat\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\NAM\ANC\NSG\OSCE\OAS\PFP\PCA\UN\UNAVEM-III\UNESCO\UNIDO\UNIKOM\UPU\WEU\WCL\WFTU\WHO\WIPO\WMO\WToO\WTrO\ZC,51,21657162,Christian Orthodox,Romanian,2.2891620234E12,126000,1.93420907358469,0,765.1870261,743.6838014
