abbrev_org,name_org,date de création,GPS_siege,longitude_siege,point_palladio,latitude_siege,nom_siege,members,nombre_pays_membres,population_org,soldats_org,mortsGuerre_org,depensesMilitairesPIB_org,exportations_org,importations_org,superficie_org
SACU,Southern African Customs Union,1969-12-11,POINT(17.083611111 -22.57),17.083611111,"-22.57, 17.083611111",-22.57,Windhoek,Swaziland\Lesotho\South Africa\Namibia\Botswana,5,49268817,82000,0,9.52085523856309,744.3992169,667.8631414,2.693418E9
SADC,Southern African Development Community,1992-08-17,POINT(25.908611111 -24.656944444),25.908611111,"-24.656944444, 25.908611111",-24.656944444,Gaborone,Swaziland\Tanzania\Lesotho\Mauritius\Angola\South Africa\Congo\Democratic Republic of the\Namibia\Zambia\Mozambique\Malawi\Zimbabwe\Botswana,14,210226887,311000,37,20.76464172398712,2059.26426013,1875.7239336,9.295919E9
Mercosur,Southern Cone Common Market,1991-03-26,POINT(-56.166666666 -34.866944444),-56.166666666000005,"-34.866944444, -56.166666666",-34.866944444,Montevideo,Argentina\Brazil\Ecuador\Uruguay\Colombia\Venezuela,6,307186003,1196190,1234,9.79063975381561,716.1385341999999,658.5629644200001,1.3789595E10
UN,United Nations,1945-06-26,POINT(-73.968055555 40.749444444),-73.968055555,"40.749444444, -73.968055555",40.749444444,Q11297,Canada\East Timor\Cambodia\Swaziland\Argentina\Bolivia\Turkmenistan\Bahrain\Rwanda\Togo\Guatemala\Kuwait\Jordan\Dominica\Liberia\Maldives\Micronesia\Federated States of\Pakistan\Oman\Tanzania\Monaco\New Zealand\Jamaica\Albania\Congo\Republic of the\United Arab Emirates\India\Nicaragua\Lesotho\Saint Vincent and the Grenadines\Kenya\Saint Lucia\Afghanistan\Bangladesh\Mauritania\Solomon Islands\San Marino\Somalia\Per\Laos\Cuba\Cameroon\Saint Kitts and Nevis\Burkina Faso\China\Armenia\Dominican Republic\Ghana\Tonga\Libya\Central African Republic\Mauritius\Liechtenstein\Mali\United States\Angola\Chad\South Africa\Qatar\Malaysia\Barbados\Uganda\Guinea\Panama\Congo\Democratic Republic of the\Costa Rica\Luxembourg\Andorra\Pala\Nigeria\Ecuador\Brunei\Australia\Iran\El Salvador\Tuval\Marshall Islands\Chile\Kiribati\Haiti\Belize\Sierra Leone\Georgia\Mexico\Namibia\Moldova\Morocco\Croatia\Mongolia\Thailand\Switzerland\Grenada\Korea\North\Iraq\Portugal\Uruguay\Korea\South\Tunisia\Djibouti\Antigua and Barbuda\Spain\Colombia\Burundi\Fiji\Madagascar\Italy\Vanuat\Netherlands\Suriname\Venezuela\Naur\Israel\Indonesia\Iceland\Zambia\Samoa\Mozambique\Papua New Guinea\Malawi\Trinidad and Tobago\Zimbabwe\Eritrea\Kyrgyzstan\Macedonia\Paraguay\Guyana\Syria\Burma\Honduras\Egypt\Singapore\Botswana\United Kingdom\Gambia\The\Sri Lanka\Gabon\Comoros,143,4942688724,15452782,11304,184.15331790028097,18777.414444510003,17302.1557695,3.139132163E12
UNAVEM III,United Nations Angola Verification Mission,1988-12-20,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0
UNAMIR,United Nations Assistance Mission for Rwanda,1993-10-05,POINT(-73.94 40.67),-73.94,"40.67, -73.94",40.67,New York City,,0,0,0,0,0.0,0.0,0.0,0.0
UNCRO,United Nations Confidence Restoration Operation in Croatia,1995-03-31,POINT(15.95 45.8),15.95,"45.8, 15.95",45.8,Zagreb,,0,0,0,0,0.0,0.0,0.0,0.0
UNDOF,United Nations Disengagement Observer Force,1974-05-31,POINT(38.583333 35.216667),38.583333,"35.216667, 38.583333",35.216667,Syria,Canada\Japan,2,159840876,322000,0,2.049573665517118,232.5349037,234.1319332,1.0362505E10
UNESCO,"United Nations Educational, Scientific, and Cultural Organization",1945-11-16,,,,,,Canada\East Timor\Cambodia\Aruba\Swaziland\Argentina\Bolivia\Turkmenistan\Bahrain\Rwanda\Togo\Japan\Guatemala\Kuwait\Jordan\Dominica\Liberia\Maldives\Micronesia\Federated States of\Pakistan\Oman\Tanzania\Niue\Monaco\New Zealand\Jamaica\Albania\Congo\Republic of the\United Arab Emirates\India\Nicaragua\Lesotho\Saint Vincent and the Grenadines\Kenya\Saint Lucia\Afghanistan\Bangladesh\Mauritania\Solomon Islands\San Marino\Somalia\Per\Laos\Cook Islands\Cuba\Cameroon\Saint Kitts and Nevis\Burkina Faso\China\Armenia\Dominican Republic\Ghana\Tonga\Libya\Central African Republic\Mauritius\Mali\United States\Angola\Chad\South Africa\Tokela\Qatar\Malaysia\Barbados\Uganda\Brazil\Guinea\Panama\Congo\Democratic Republic of the\Costa Rica\Luxembourg\Andorra\Pala\Nigeria\Ecuador\Australia\Iran\El Salvador\Tuval\Marshall Islands\Chile\Kiribati\Haiti\Belize\Sierra Leone\Georgia\Mexico\Namibia\Moldova\Morocco\Croatia\Mongolia\Thailand\Switzerland\Grenada\Korea\North\Iraq\Portugal\Uruguay\Korea\South\Tunisia\Djibouti\Antigua and Barbuda\Spain\Colombia\Burundi\Fiji\Madagascar\Italy\Vanuat\Netherlands\Suriname\Venezuela\Naur\Netherlands Antilles\Israel\Indonesia\Iceland\Zambia\Samoa\Mozambique\Papua New Guinea\Malawi\Trinidad and Tobago\Zimbabwe\Philippines\Eritrea\Kyrgyzstan\Macedonia\Paraguay\Guyana\Syria\Burma\Honduras\Egypt\Botswana\United Kingdom\Gambia\The\Greece\Sri Lanka\Gabon\Comoros,149,5346573586,16538782,11643,186.10568793630227,19297.599296710006,17827.699070399998,3.148442709E12
UNFICYP,United Nations Force in Cyprus,1964-03-04,,,,,,Canada\Argentina\Croatia\Uruguay\United Kingdom,5,139819441,432920,0,8.037432321254549,676.6180007,639.34235202,1.3229142E10
